original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Dominican Residential Development
APN 015-163-03",Subdivision and residential development of a 21 acre site at the intersection of Magnolia Ave and Deer Park Ave,Incomplete,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Northgate Town Square
5800 Northgate Dr
District: 4","Redevelopment of Northgate Mall into an open-air 'main street experience', surrounded by mixed-use development of retail and approximately 1,320 residences.",Under Review,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Wildcare,"Redevelopment  Wildcare facilities with new animal hospital, educational, and animal housing facilities.",Incomplete,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"50 Merrydale Apartments
District: 3",Subdivision of the existing lot and a new multifamily residential building,Incomplete,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"4th and Grand Apartments
District: 3",six-story multifamily residential building,SB 35 NOI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"52 Fremont Rd: Urban Lot Split
District 2",Urban Lot Split (SB 9) to create two new lots and construct two units on each lot,"SB 9
Pre-App",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"88 Vivian Street
District:1",70 for sale townhomes,"Approved
5/10/22",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350 Merrydale Town Home Development,45 for-sale town homes development,"Approved
 ",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,703 3rd Mixed Use Development,"Construct a 6-story, 73'-tall, mixed-use building with 120 rental units or apartments",Approved,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"703 3rd Street - 119 -Unit Residential
District:2",eight-story residential building,SB 35 NOI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"800 Mission Aegis (Formerly Known as 1203 Lincoln)
District: 1",New assisted living facility with 103 suites.,"Approved
12/14/21",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1515 Fourth Street Apartments
District: 2",Seven-story mixed-use building,Planning Commission Hearing on 4/11/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3301 Kerner Temporary Emergency shelter,Temporary emergency shelter to allow for the redevelopment at the existing Homeward Bound location.,Under Construction,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AC Marriott Hotel 1201 5th Ave,"Construction of a 54 feet tall, 140-room hotel building and associated parking and landscape improvements",Approved,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Airport Recreation Facility,,Under Review,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Aldersly: 308 & 326 Mission
District: 3",Phased improvements over the next ten years on the Aldersly Campus.,Under Review,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"BioMarin Office Building at 755 Lindaro
District: 1","New 72,400 square foot office building and parking garage expansion.","Approved
10/19/2015",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Biomarin/Vivalon 999 3rd St,"Construct two, four-story 72' tall buildings for the purposes of laboratory/R&D and general office spaces.","Approved
03/23/20",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Brookdale Apartments
District: 1",10-Unit Multifamily Residential Apartments,"Approved
6/14/22",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Hampton Inn and Suites 1075 Francisco,"185-room hotel that includes guest rooms and guest amenities including a breakfast dining area, meeting rooms, swimming pool fitness room, guest laundry area, and market.",Approved,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Los Gamos Apartments
District: 4",Mixed Use Multi-Family Apartment Project,"Approved
2/7/22",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Marin Academy Aquatic Center,"Replacement and relocation of aquatic center, including with a new uncovered swimming pool, a two-story support building, and site improvements",Under Construction,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Northgate Walk - 1005 & 1010 Northgate Dr.,"Construct a new 4-story, 30-unit, residential condominium and a two (2) new 4-story, residential condominium buildings with 48 and 58 units",Approved,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ritter Center 800 & 804 A St,Use Permit for a Major Medical Facility Use for the Ritter Center from 16 Ritter Street to an existing building at 800 A Street,Approved,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Ross Street Terrace Residential
APN: 012-141-59 and -60
District: 2",Construction of two new single family houses on vacant lots,Under Review,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"San Rafael Inn
1580 Lincoln Ave
District: 1","New 46-room, 4-story, 44’ 9”-tall boutique hotel.",Incomplete,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Tiscornia Marsh Restoration Project
District: 1",Restoration of Marsh,"Approved
1/11/22",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"The Village at Loch Lomond Marina Project
District: 3",Mixed Use Development,"Approved
8/6/07",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
